post_id,timestamp_utc,asset,is_etf,sectors,relevance,is_direct,trump_exposed,weekday,hour,after_hours,pre_ret_1,pre_ret_5,pre_ret_10,pre_vol,pre_abn_5,text,raw_1,abn_1,lab_1,raw_3,abn_3,lab_3,raw_5,abn_5,lab_5
823495059010109440,2017-01-23T11:38:16.523000+00:00,XLI,1,XLI,1.0,0,0,0,11,1,0.000157,0.007304,0.010514,0.005101,0.006377,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufa,-0.004419,-0.001817,NEUTRAL,0.016095,0.003614,NEUTRAL,0.017673,0.007838,UP
823495059010109440,2017-01-23T11:38:16.523000+00:00,BA,0,XLI/ITA,0.5,0,0,0,11,1,0.003333,0.007834,0.005167,0.005087,0.006907,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufa,-0.00692,-0.004318,DOWN,0.052976,0.040495,UP,0.055115,0.04528,UP
823495059010109440,2017-01-23T11:38:16.523000+00:00,CAT,0,XLI,0.5,0,0,0,11,1,0.012851,0.014627,0.025428,0.008014,0.0137,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufa,-0.00148,0.001122,NEUTRAL,0.037526,0.025045,UP,0.046406,0.03657,UP
823495059010109440,2017-01-23T11:38:16.523000+00:00,GE,0,XLI,0.5,0,0,0,11,1,-0.021788,-0.027397,-0.031408,0.005223,-0.028324,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufa,-0.02459,-0.021988,DOWN,-0.004262,-0.016743,DOWN,-0.016066,-0.025901,DOWN
823495059010109440,2017-01-23T11:38:16.523000+00:00,RTX,0,XLI/ITA,0.5,0,0,0,11,1,0.000541,-0.000271,-0.005029,0.005291,-0.001198,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufa,-0.00451,-0.001908,NEUTRAL,0.001083,-0.011399,DOWN,-0.010285,-0.02012,DOWN
823495059010109440,2017-01-23T11:38:16.523000+00:00,UNP,0,XLI,0.5,0,0,0,11,1,0.022214,0.03725,0.063351,0.010352,0.036323,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufa,-0.005983,-0.003381,NEUTRAL,0.016384,0.003903,NEUTRAL,0.005155,-0.00468,NEUTRAL
823850781946343427,2017-01-24T11:11:47.480000+00:00,XLY,1,XLY,1.0,0,0,1,11,1,0.000712,0.000356,0.00804,0.005236,0.00432,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here fo,0.006657,0.001356,NEUTRAL,0.014385,0.001443,NEUTRAL,0.009985,0.004906,NEUTRAL
823850781946343427,2017-01-24T11:11:47.480000+00:00,AMZN,0,XLY,0.5,0,0,1,11,1,0.011814,0.000906,0.0275,0.011355,0.00487,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here fo,0.000535,-0.004765,NEUTRAL,0.020864,0.007922,NEUTRAL,0.010195,0.005115,NEUTRAL
823850781946343427,2017-01-24T11:11:47.480000+00:00,TSLA,0,XLY,0.5,0,0,1,11,1,0.017125,0.046984,0.086944,0.016069,0.050948,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here fo,0.018438,0.013138,UP,0.010038,-0.002904,NEUTRAL,0.00252,-0.002559,NEUTRAL
823850781946343427,2017-01-24T11:11:47.480000+00:00,HD,0,XLY,0.5,0,0,1,11,1,0.018216,0.022437,0.034,0.007254,0.026402,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here fo,0.001306,-0.003994,DOWN,0.004207,-0.008735,DOWN,0.004279,-0.0008,NEUTRAL
823850781946343427,2017-01-24T11:11:47.480000+00:00,MCD,0,XLY,0.5,0,0,1,11,1,-0.007197,-0.000987,0.005134,0.006477,0.002977,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here fo,-0.007543,-0.012843,DOWN,-0.000738,-0.013679,DOWN,0.008608,0.003529,NEUTRAL
823850781946343427,2017-01-24T11:11:47.480000+00:00,NKE,0,XLY,0.5,0,0,1,11,1,0.000752,0.006046,-0.012428,0.01008,0.01001,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here fo,0.008111,0.00281,NEUTRAL,0.011884,-0.001058,NEUTRAL,0.001132,-0.003947,NEUTRAL
823939422743830528,2017-01-24T17:04:01.093000+00:00,XLY,1,XLY,1.0,0,0,1,17,0,0.000712,0.000356,0.00804,0.005236,0.00432,Great meeting with automobile industry leaders at the @ WhiteHouse this morning. Together,0.002234,-0.00157,NEUTRAL,0.000587,-0.000594,NEUTRAL,-0.002117,0.002999,NEUTRAL
823939422743830528,2017-01-24T17:04:01.093000+00:00,AMZN,0,XLY,0.5,0,0,1,17,0,0.011814,0.000906,0.0275,0.011355,0.00487,Great meeting with automobile industry leaders at the @ WhiteHouse this morning. Together,0.012994,0.00919,UP,0.012085,0.010905,UP,-0.002797,0.002319,NEUTRAL
823939422743830528,2017-01-24T17:04:01.093000+00:00,TSLA,0,XLY,0.5,0,0,1,17,0,0.017125,0.046984,0.086944,0.016069,0.050948,Great meeting with automobile industry leaders at the @ WhiteHouse this morning. Together,-0.011035,-0.014839,DOWN,-0.016946,-0.018127,DOWN,-0.020911,-0.015794,NEUTRAL
823939422743830528,2017-01-24T17:04:01.093000+00:00,HD,0,XLY,0.5,0,0,1,17,0,0.018216,0.022437,0.034,0.007254,0.026402,Great meeting with automobile industry leaders at the @ WhiteHouse this morning. Together,-0.007006,-0.01081,DOWN,-0.000867,-0.002047,NEUTRAL,-0.006284,-0.001168,NEUTRAL
823939422743830528,2017-01-24T17:04:01.093000+00:00,MCD,0,XLY,0.5,0,0,1,17,0,-0.007197,-0.000987,0.005134,0.006477,0.002977,Great meeting with automobile industry leaders at the @ WhiteHouse this morning. Together,0.00247,-0.001334,NEUTRAL,0.011278,0.010097,UP,0.00889,0.014006,UP
823939422743830528,2017-01-24T17:04:01.093000+00:00,NKE,0,XLY,0.5,0,0,1,17,0,0.000752,0.006046,-0.012428,0.01008,0.01001,Great meeting with automobile industry leaders at the @ WhiteHouse this morning. Together,0.002419,-0.001385,NEUTRAL,-0.01005,-0.011231,DOWN,-0.015448,-0.010332,NEUTRAL
823950814163140609,2017-01-24T17:49:17.019000+00:00,XLE,1,XLE,1.0,0,0,1,17,0,-0.010601,-0.008473,-0.028202,0.006628,-0.004508,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office.p,0.004963,0.001159,NEUTRAL,-0.004693,-0.005873,DOWN,-0.022524,-0.017408,DOWN
823950814163140609,2017-01-24T17:49:17.019000+00:00,XOM,0,XLE,0.5,0,0,1,17,0,-0.010712,-0.015982,-0.039887,0.009407,-0.012017,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office.p,0.0,-0.003804,NEUTRAL,0.001993,0.000812,NEUTRAL,-0.01699,-0.011874,DOWN
823950814163140609,2017-01-24T17:49:17.019000+00:00,CVX,0,XLE,0.5,0,0,1,17,0,-0.001816,-0.008507,-0.012411,0.003992,-0.004543,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office.p,0.002908,-0.000896,NEUTRAL,-0.026604,-0.027784,DOWN,-0.047477,-0.04236,DOWN
823950814163140609,2017-01-24T17:49:17.019000+00:00,COP,0,XLE,0.5,0,0,1,17,0,-0.015572,-0.012849,-0.015768,0.012604,-0.008885,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office.p,0.005555,0.001751,NEUTRAL,-0.01944,-0.02062,DOWN,-0.032732,-0.027616,DOWN
823950814163140609,2017-01-24T17:49:17.019000+00:00,SLB,0,XLE,0.5,0,0,1,17,0,-0.025668,-0.006484,-0.025554,0.010646,-0.00252,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office.p,0.005054,0.00125,NEUTRAL,-0.006817,-0.007997,NEUTRAL,-0.016102,-0.010986,NEUTRAL
823950814163140609,2017-01-24T17:49:17.019000+00:00,EOG,0,XLE,0.5,0,0,1,17,0,-0.019058,-0.018313,-0.015057,0.010098,-0.014349,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office.p,0.002605,-0.001199,NEUTRAL,-0.007044,-0.008225,NEUTRAL,-0.019781,-0.014665,DOWN
825101272982355968,2017-01-27T22:00:47.776000+00:00,ITA,1,ITA,1.0,0,0,4,22,1,0.002448,0.009649,0.010574,0.00611,-0.000186,Congratulations Secretary Mattis!pic.twitter.com/mkuhbegzqS ‚Äì bei The Pentagon,-0.007189,-0.004471,DOWN,-0.006281,-0.003871,NEUTRAL,0.008026,0.002898,NEUTRAL
825101272982355968,2017-01-27T22:00:47.776000+00:00,LMT,0,ITA,0.5,0,0,4,22,1,-0.005765,-0.016412,0.003484,0.008145,-0.026248,Congratulations Secretary Mattis!pic.twitter.com/mkuhbegzqS ‚Äì bei The Pentagon,-0.005898,-0.003181,NEUTRAL,-0.013486,-0.011075,DOWN,0.000512,-0.004616,NEUTRAL
825101272982355968,2017-01-27T22:00:47.776000+00:00,NOC,0,ITA,0.5,0,0,4,22,1,0.012645,-0.009823,0.002968,0.007626,-0.019658,Congratulations Secretary Mattis!pic.twitter.com/mkuhbegzqS ‚Äì bei The Pentagon,-0.002694,2.3e-05,NEUTRAL,-0.005562,-0.003152,NEUTRAL,0.005476,0.000348,NEUTRAL
825101272982355968,2017-01-27T22:00:47.776000+00:00,RTX,0,XLI/ITA,0.5,0,0,4,22,1,-0.005981,-0.009838,-0.010107,0.006093,-0.019673,Congratulations Secretary Mattis!pic.twitter.com/mkuhbegzqS ‚Äì bei The Pentagon,-0.001282,0.001435,NEUTRAL,-0.010339,-0.007928,DOWN,0.003109,-0.002019,NEUTRAL
825101272982355968,2017-01-27T22:00:47.776000+00:00,GD,0,ITA,0.5,0,0,4,22,1,0.044219,0.038478,0.053382,0.011636,0.028643,Congratulations Secretary Mattis!pic.twitter.com/mkuhbegzqS ‚Äì bei The Pentagon,-0.0149,-0.012183,DOWN,-0.022674,-0.020264,DOWN,-0.011391,-0.016519,DOWN
825101272982355968,2017-01-27T22:00:47.776000+00:00,BA,0,XLI/ITA,0.5,0,0,4,22,1,-0.008397,0.051213,0.059448,0.011233,0.041377,Congratulations Secretary Mattis!pic.twitter.com/mkuhbegzqS ‚Äì bei The Pentagon,-0.002109,0.000608,NEUTRAL,-0.011752,-0.009342,NEUTRAL,-0.021215,-0.026343,DOWN
827118012784373760,2017-02-02T11:34:36.014000+00:00,ITA,1,ITA,1.0,0,0,3,11,1,0.0,-0.00294,0.007144,0.00549,0.005554,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the ,0.001476,0.000817,NEUTRAL,0.019336,0.013581,UP,0.018633,0.011516,UP
827118012784373760,2017-02-02T11:34:36.014000+00:00,LMT,0,ITA,0.5,0,0,3,11,1,-0.00171,-0.000398,-0.012476,0.007669,0.008097,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the ,0.004265,0.003606,NEUTRAL,0.017577,0.011822,UP,0.023276,0.016159,UP
827118012784373760,2017-02-02T11:34:36.014000+00:00,NOC,0,ITA,0.5,0,0,3,11,1,-0.001134,-0.008751,-0.006168,0.007188,-0.000256,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the ,0.006349,0.00569,UP,0.019353,0.013598,UP,0.017601,0.010484,UP
827118012784373760,2017-02-02T11:34:36.014000+00:00,RTX,0,XLI/ITA,0.5,0,0,3,11,1,-0.013585,-0.025054,-0.020287,0.006085,-0.016559,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the ,0.002592,0.001933,NEUTRAL,0.024057,0.018302,UP,0.021465,0.014348,UP
827118012784373760,2017-02-02T11:34:36.014000+00:00,GD,0,ITA,0.5,0,0,3,11,1,-0.000276,0.032569,0.028638,0.012045,0.041063,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the ,-0.002157,-0.002816,NEUTRAL,0.01267,0.006915,NEUTRAL,0.013223,0.006106,NEUTRAL
827118012784373760,2017-02-02T11:34:36.014000+00:00,BA,0,XLI/ITA,0.5,0,0,3,11,1,0.003365,-0.020256,0.035687,0.012154,-0.011761,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the ,-0.005881,-0.00654,DOWN,0.004657,-0.001098,NEUTRAL,0.012248,0.00513,NEUTRAL
827715246135574530,2017-02-04T03:07:47.541000+00:00,XLI,1,XLI,1.0,0,0,5,3,1,0.007442,-0.013491,0.002837,0.006108,-0.015106,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAM,0.002044,0.001782,NEUTRAL,0.00236,0.000744,NEUTRAL,0.018088,0.006553,NEUTRAL
827715246135574530,2017-02-04T03:07:47.541000+00:00,BA,0,XLI/ITA,0.5,0,0,5,3,1,0.000862,-0.031604,0.01799,0.012298,-0.03322,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAM,0.009605,0.009343,UP,0.017233,0.015617,UP,0.032261,0.020727,UP
827715246135574530,2017-02-04T03:07:47.541000+00:00,CAT,0,XLI,0.5,0,0,5,3,1,-0.005224,-0.057682,-0.013744,0.011828,-0.059298,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAM,0.000646,0.000385,NEUTRAL,0.001077,-0.000539,NEUTRAL,0.037711,0.026177,UP
827715246135574530,2017-02-04T03:07:47.541000+00:00,GE,0,XLI,0.5,0,0,5,3,1,0.000673,-0.01033,-0.027187,0.008458,-0.011946,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAM,-0.000674,-0.000936,NEUTRAL,-0.008424,-0.01004,DOWN,0.001347,-0.010188,DOWN
827715246135574530,2017-02-04T03:07:47.541000+00:00,RTX,0,XLI/ITA,0.5,0,0,5,3,1,0.011903,-0.000456,-0.01029,0.006654,-0.002072,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAM,0.007923,0.007661,UP,0.005372,0.003755,NEUTRAL,0.011293,-0.000242,NEUTRAL
827715246135574530,2017-02-04T03:07:47.541000+00:00,UNP,0,XLI,0.5,0,0,5,3,1,0.011278,-0.006318,-0.000828,0.011226,-0.007934,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAM,-0.006183,-0.006445,DOWN,-0.009412,-0.011029,DOWN,-0.004521,-0.016056,DOWN
831904516316479489,2017-02-15T16:34:27.385000+00:00,XLY,1,XLY,1.0,0,0,2,16,0,0.005707,0.025664,0.017562,0.003692,0.004873,Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF,-0.004039,-0.00306,DOWN,0.004959,-0.001595,NEUTRAL,-0.001848,-0.00819,DOWN
831904516316479489,2017-02-15T16:34:27.385000+00:00,AMZN,0,XLY,0.5,0,0,2,16,0,-0.000167,0.029403,0.015677,0.010757,0.008612,Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF,0.002732,0.003711,NEUTRAL,0.017343,0.010788,UP,0.012294,0.005952,NEUTRAL
831904516316479489,2017-02-15T16:34:27.385000+00:00,TSLA,0,XLY,0.5,0,0,2,16,0,0.001352,0.091271,0.115312,0.01371,0.07048,Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF,-0.031162,-0.030183,DOWN,-0.000756,-0.007311,NEUTRAL,-0.077847,-0.08419,DOWN
831904516316479489,2017-02-15T16:34:27.385000+00:00,HD,0,XLY,0.5,0,0,2,16,0,0.010653,0.034468,0.027476,0.006666,0.013676,Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF,-0.005969,-0.00499,DOWN,0.01847,0.011916,UP,0.016294,0.009952,UP
831904516316479489,2017-02-15T16:34:27.385000+00:00,MCD,0,XLY,0.5,0,0,2,16,0,0.002151,0.009793,0.026434,0.004529,-0.010999,Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF,-0.000395,0.000584,NEUTRAL,0.010176,0.003622,NEUTRAL,0.011992,0.00565,UP
831904516316479489,2017-02-15T16:34:27.385000+00:00,NKE,0,XLY,0.5,0,0,2,16,0,0.00642,0.068928,0.067108,0.009373,0.048137,Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF,-0.010372,-0.009393,DOWN,0.008441,0.001886,NEUTRAL,0.008967,0.002625,NEUTRAL
832375230274400256,2017-02-16T23:44:54.338000+00:00,XLB,1,XLB,1.0,0,0,3,23,1,0.0,0.01588,0.008849,0.007627,-0.001986,Trump signs bill undoing Obama coal mining rule' https://t.co/yMfT5r5RGh,-0.000954,-0.005827,DOWN,0.004966,-0.004994,NEUTRAL,0.001526,-0.010399,DOWN
836261209540288513,2017-02-27T17:06:23.993000+00:00,XLV,1,XLV,1.0,0,0,0,17,0,0.004835,0.016585,0.042665,0.004883,0.007979,Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peo… htt,0.000801,0.001647,NEUTRAL,0.007607,0.000846,NEUTRAL,0.007741,0.003347,NEUTRAL
836261209540288513,2017-02-27T17:06:23.993000+00:00,UNH,0,XLV,0.5,0,0,0,17,0,0.002829,-0.003605,0.01633,0.010875,-0.012211,Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peo… htt,-0.000544,0.000301,NEUTRAL,0.01112,0.004359,NEUTRAL,0.01952,0.015126,UP
836261209540288513,2017-02-27T17:06:23.993000+00:00,JNJ,0,XLV,0.5,0,0,0,17,0,0.015136,0.046258,0.082942,0.005734,0.037651,Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peo… htt,0.001639,0.002484,NEUTRAL,0.013277,0.006517,UP,0.013933,0.009539,UP
836261209540288513,2017-02-27T17:06:23.993000+00:00,PFE,0,XLV,0.5,0,0,0,17,0,0.005869,0.019037,0.058057,0.006554,0.01043,Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peo… htt,0.000586,0.001432,NEUTRAL,0.012025,0.005264,NEUTRAL,0.00733,0.002936,NEUTRAL
836261209540288513,2017-02-27T17:06:23.993000+00:00,MRK,0,XLV,0.5,0,0,0,17,0,0.004709,0.013792,0.027489,0.009248,0.005186,Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peo… htt,0.000913,0.001758,NEUTRAL,0.004102,-0.002659,NEUTRAL,0.010029,0.005635,NEUTRAL
836261209540288513,2017-02-27T17:06:23.993000+00:00,ABBV,0,XLV,0.5,0,0,0,17,0,0.002423,0.009921,0.020546,0.007419,0.001315,Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peo… htt,-0.004348,-0.003502,NEUTRAL,0.018355,0.011594,UP,0.023185,0.01879,UP
838861512999649286,2017-03-06T21:19:04.649000+00:00,XOM,0,XLE,1.0,1,0,0,21,1,0.004486,0.01582,0.013087,0.008124,0.01329,President Trump Congratulates Exxon Mobil for Job-Creating Investment Program' https://t.co/adBzWhtq8S,-0.007099,-0.005583,DOWN,-0.017326,-0.015219,DOWN,-0.020334,-0.02223,DOWN
838960097674002432,2017-03-07T03:50:49.067000+00:00,XOM,0,XLE,1.0,1,0,1,3,1,0.004486,0.01582,0.013087,0.008124,0.01329,Thank you to @exxonmobil for your $20 billion investment that is creating more than 45,-0.007099,-0.005583,DOWN,-0.017326,-0.015219,DOWN,-0.020334,-0.02223,DOWN
839086723552411648,2017-03-07T12:13:59.029000+00:00,XLV,1,XLV,1.0,0,0,1,12,1,-0.003825,0.004925,0.025117,0.0042,0.002395,Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is,0.001201,0.002717,UP,0.010682,0.012789,UP,0.013753,0.011857,UP
839086723552411648,2017-03-07T12:13:59.029000+00:00,UNH,0,XLV,0.5,0,0,1,12,1,0.002973,0.020075,0.070296,0.011247,0.017545,Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is,-0.000891,0.000626,NEUTRAL,0.001106,0.003212,NEUTRAL,0.014214,0.012319,NEUTRAL
839086723552411648,2017-03-07T12:13:59.029000+00:00,JNJ,0,XLV,0.5,0,0,1,12,1,-0.000646,0.010703,0.047691,0.006029,0.008173,Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is,0.010198,0.011714,UP,0.027493,0.029599,UP,0.033448,0.031552,UP
839086723552411648,2017-03-07T12:13:59.029000+00:00,PFE,0,XLV,0.5,0,0,1,12,1,-0.004925,0.002043,0.021715,0.006556,-0.000487,Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is,0.003541,0.005058,UP,0.005312,0.007418,UP,0.007083,0.005187,NEUTRAL
839086723552411648,2017-03-07T12:13:59.029000+00:00,MRK,0,XLV,0.5,0,0,1,12,1,-0.001652,0.009416,0.016516,0.00616,0.006886,Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is,0.0081,0.009616,UP,0.007029,0.009136,UP,-0.012487,-0.014383,DOWN
839086723552411648,2017-03-07T12:13:59.029000+00:00,ABBV,0,XLV,0.5,0,0,1,12,1,0.003315,0.021376,0.028815,0.006013,0.018846,Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is,0.008711,0.010228,UP,0.021539,0.023646,UP,0.04292,0.041024,UP
839268048313929729,2017-03-08T00:14:30.221000+00:00,XLV,1,XLV,1.0,0,0,2,0,1,-0.00702,-0.000134,0.01338,0.004706,-0.002376,I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamaca,0.004135,0.007422,UP,0.013472,0.011997,UP,0.008937,0.01079,UP
839268048313929729,2017-03-08T00:14:30.221000+00:00,UNH,0,XLV,0.5,0,0,2,0,1,-0.002371,0.017656,0.048141,0.011039,0.015415,I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamaca,0.002388,0.005675,UP,0.014745,0.013271,UP,0.009253,0.011107,NEUTRAL
839268048313929729,2017-03-08T00:14:30.221000+00:00,JNJ,0,XLV,0.5,0,0,2,0,1,0.00097,0.013256,0.041696,0.005893,0.011014,I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamaca,0.002829,0.006115,UP,0.019878,0.018404,UP,0.026666,0.02852,UP
839268048313929729,2017-03-08T00:14:30.221000+00:00,PFE,0,XLV,0.5,0,0,2,0,1,-0.01048,-0.003811,0.011007,0.007215,-0.006052,I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamaca,0.0,0.003286,NEUTRAL,0.005895,0.00442,NEUTRAL,0.00914,0.010994,UP
839268048313929729,2017-03-08T00:14:30.221000+00:00,MRK,0,XLV,0.5,0,0,2,0,1,-0.007673,0.001365,0.007331,0.006163,-0.000876,I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamaca,-0.002425,0.000861,NEUTRAL,-0.005458,-0.006933,DOWN,-0.01966,-0.017806,DOWN
839268048313929729,2017-03-08T00:14:30.221000+00:00,ABBV,0,XLV,0.5,0,0,2,0,1,0.002204,0.029918,0.030084,0.005982,0.027676,I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamaca,0.006117,0.009404,UP,0.033411,0.031937,UP,0.030118,0.031971,UP
839968149890076672,2017-03-09T22:36:27.444000+00:00,XLY,1,XLY,1.0,0,0,3,22,1,-0.000924,-0.004707,0.002312,0.004877,0.001211,U.S. Consumer Comfort Just Reached Its Highest Level in a Decade' ➡️https://t.co/S8nZgmeMMV https://t.co/xC0piRa6eP,-0.002871,-0.001694,NEUTRAL,-0.000459,0.004037,NEUTRAL,0.004706,0.002563,NEUTRAL
839968149890076672,2017-03-09T22:36:27.444000+00:00,AMZN,0,XLY,0.5,0,0,3,22,1,0.002939,0.004818,0.00095,0.005595,0.010736,U.S. Consumer Comfort Just Reached Its Highest Level in a Decade' ➡️https://t.co/S8nZgmeMMV https://t.co/xC0piRa6eP,-0.005298,-0.004121,DOWN,-0.005216,-0.000719,NEUTRAL,-0.004177,-0.00632,DOWN
839968149890076672,2017-03-09T22:36:27.444000+00:00,TSLA,0,XLY,0.5,0,0,3,22,1,-0.007978,-0.022277,-0.04332,0.023344,-0.016359,U.S. Consumer Comfort Just Reached Its Highest Level in a Decade' ➡️https://t.co/S8nZgmeMMV https://t.co/xC0piRa6eP,-0.010235,-0.009058,NEUTRAL,0.047886,0.052383,UP,0.064335,0.062193,UP
839968149890076672,2017-03-09T22:36:27.444000+00:00,HD,0,XLY,0.5,0,0,3,22,1,-0.002042,-0.002958,0.019365,0.006143,0.00296,U.S. Consumer Comfort Just Reached Its Highest Level in a Decade' ➡️https://t.co/S8nZgmeMMV https://t.co/xC0piRa6eP,-0.002649,-0.001472,NEUTRAL,-0.000544,0.003953,NEUTRAL,0.01012,0.007977,UP
839968149890076672,2017-03-09T22:36:27.444000+00:00,MCD,0,XLY,0.5,0,0,3,22,1,0.00039,-0.000702,0.006339,0.004615,0.005216,U.S. Consumer Comfort Just Reached Its Highest Level in a Decade' ➡️https://t.co/S8nZgmeMMV https://t.co/xC0piRa6eP,-0.004511,-0.003335,DOWN,-0.005912,-0.001415,NEUTRAL,-0.004511,-0.006654,DOWN
839968149890076672,2017-03-09T22:36:27.444000+00:00,NKE,0,XLY,0.5,0,0,3,22,1,-0.002654,-0.024913,-0.014888,0.010765,-0.018995,U.S. Consumer Comfort Just Reached Its Highest Level in a Decade' ➡️https://t.co/S8nZgmeMMV https://t.co/xC0piRa6eP,-0.001063,0.000114,NEUTRAL,0.013985,0.018482,UP,0.019649,0.017507,UP
840572799202783233,2017-03-11T14:39:07.074000+00:00,XLV,1,XLV,1.0,0,0,5,14,0,0.003831,0.002374,0.016048,0.004652,0.005436,We are making great progress with healthcare. ObamaCare is imploding and will only get worse. Republicans coming togethe,-0.00171,-0.002509,DOWN,0.007101,0.001504,NEUTRAL,-0.00812,-0.009977,DOWN
840572799202783233,2017-03-11T14:39:07.074000+00:00,UNH,0,XLV,0.5,0,0,5,14,0,0.011725,0.01435,0.046324,0.01117,0.017412,We are making great progress with healthcare. ObamaCare is imploding and will only get worse. Republicans coming togethe,0.001294,0.000494,NEUTRAL,0.01053,0.004933,NEUTRAL,-0.001706,-0.003563,NEUTRAL
840572799202783233,2017-03-11T14:39:07.074000+00:00,JNJ,0,XLV,0.5,0,0,5,14,0,0.002064,0.019548,0.028355,0.006145,0.02261,We are making great progress with healthcare. ObamaCare is imploding and will only get worse. Republicans coming togethe,0.006755,0.005955,UP,0.024874,0.019276,UP,0.017722,0.015865,UP
840572799202783233,2017-03-11T14:39:07.074000+00:00,PFE,0,XLV,0.5,0,0,5,14,0,0.001761,-0.011878,-0.004379,0.007043,-0.008816,We are making great progress with healthcare. ObamaCare is imploding and will only get worse. Republicans coming togethe,-0.000881,-0.00168,NEUTRAL,0.014353,0.008755,UP,0.00527,0.003413,NEUTRAL
840572799202783233,2017-03-11T14:39:07.074000+00:00,MRK,0,XLV,0.5,0,0,5,14,0,-0.004402,-0.01472,-0.008466,0.005688,-0.011658,We are making great progress with healthcare. ObamaCare is imploding and will only get worse. Republicans coming togethe,-0.016706,-0.017506,DOWN,-0.008276,-0.013874,DOWN,-0.020539,-0.022396,DOWN
